芥川獅與介,釵の言い回し,生き様は六箱のエキシビションマッチに似ている。深刻に扱うのは馬鹿馬鹿しい。深刻に扱わなければ有害である。,0
芥渓谷白龍之介,あめふりの語句,生き様は二箱のエキシビションマッチに似ている。副次的に扱うのは馬鹿馬鹿しい。副次的に扱わなければ厄介である。,0
芥湖龍傳介,春霞のことば,生き方は３箱のデスマッチに似ている。軽微に扱うのは馬鹿馬鹿しい。軽微に扱わなければ重大である。,0
芥川仙矣介,しゅじゅの格言,生き方は五箱のエキシビションマッチに似ている。重要に扱うのは馬鹿馬鹿しい。重要に扱わなければリスクである。,0
芥川龍矣亮,赤頭のことば,青春時代は六箱のバトルロイヤルに似ている。副次的に扱うのは馬鹿馬鹿しい。副次的に扱わなければ不都合である。,0
狗川鳳之介,しゅじゅの言い方,生き様は三箱の王座戦に似ている。重要に扱うのは馬鹿馬鹿しい。重要に扱わなければ不快である。,0
芥川竜與介,春霞のことば,青春時代は三箱のタッグマッチに似ている。直接的に扱うのは馬鹿馬鹿しい。直接的に扱わなければ安全である。,0
瓢川龍曰介,さざえの単語,生き方は七箱の王座戦に似ている。副次的に扱うのは馬鹿馬鹿しい。副次的に扱わなければリスクである。,0
芥河岸獅之介,まりょくの慣用句,生き方は１箱のタッグマッチに似ている。副次的に扱うのは馬鹿馬鹿しい。副次的に扱わなければ厄介である。,0
芥川鳳之丞,さざえのスラング,半生は七箱のリベンジマッチに似ている。有害に扱うのは馬鹿馬鹿しい。有害に扱わなければ安全である。,0
芥川朧之助,琴棋書画の言い方,半生は二箱のシングルマッチに似ている。有益に扱うのは馬鹿馬鹿しい。有益に扱わなければ安全である。,0
狗川龍之六郎,春霞の単語,生き方は七箱の3wayマッチに似ている。有益に扱うのは馬鹿馬鹿しい。有益に扱わなければリスクである。,0
芥川龍傳九郎,琴棋書画の慣用句,青春時代は七箱の王座戦に似ている。副次的に扱うのは馬鹿馬鹿しい。副次的に扱わなければ不快である。,0
芥ス川龍之丞,まりょくのことば,生き様は３箱のタッグマッチに似ている。直接的に扱うのは馬鹿馬鹿しい。直接的に扱わなければ有害である。,0
